iter	Passed	Remaining
0	124	124523
1	125	62464
2	126	42026
3	127	31849
4	129	25685
5	130	21559
6	131	18617
7	132	16400
8	133	14659
9	133	13236
10	134	12111
11	135	11163
12	136	10364
13	137	9675
14	138	9065
15	138	8545
16	140	8097
17	141	7729
18	143	7399
19	143	7046
20	144	6750
21	146	6491
22	147	6249
23	148	6021
24	148	5809
25	149	5616
26	150	5439
27	151	5272
28	152	5122
29	153	4968
30	154	4832
31	154	4688
32	156	4586
33	158	4495
34	159	4391
35	160	4294
36	161	4199
37	162	4108
38	163	4022
39	164	3940
40	165	3862
41	166	3792
42	166	3712
43	167	3643
44	168	3579
45	169	3524
46	171	3476
47	173	3435
48	174	3381
49	175	3331
50	176	3281
51	177	3233
52	177	3174
53	178	3130
54	179	3086
55	180	3043
56	181	3001
57	182	2962
58	183	2926
59	184	2893
60	185	2862
61	187	2838
62	188	2808
63	190	2778
64	191	2749
65	191	2709
66	192	2679
67	193	2645
68	193	2616
69	194	2588
70	195	2560
71	196	2535
72	197	2510
73	198	2486
74	199	2462
75	200	2443
76	202	2427
77	203	2408
78	204	2388
79	205	2367
80	206	2346
81	207	2326
82	208	2306
83	209	2286
84	210	2269
85	211	2250
86	212	2231
87	213	2213
88	214	2197
89	215	2181
90	218	2180
91	219	2167
92	220	2150
93	221	2137
94	222	2123
95	223	2102
96	224	2086
97	225	2071
98	225	2056
99	226	2041
100	227	2022
101	228	2008
102	229	1995
103	230	1981
104	231	1969
105	232	1962
106	233	1951
107	235	1941
108	235	1927
109	236	1917
110	237	1905
111	238	1894
112	240	1884
113	241	1873
114	242	1863
115	243	1853
116	244	1843
117	245	1833
118	246	1824
119	248	1820
120	249	1812
121	250	1802
122	251	1793
123	252	1784
124	253	1776
125	254	1767
126	255	1758
127	256	1749
128	257	1741
129	258	1733
130	260	1727
131	261	1719
132	262	1713
133	264	1709
134	265	1701
135	266	1690
136	267	1682
137	268	1675
138	269	1667
139	270	1659
140	271	1652
141	272	1645
142	273	1638
143	274	1631
144	275	1625
145	276	1618
146	278	1613
147	280	1613
148	281	1606
149	281	1597
150	283	1591
151	284	1585
152	285	1578
153	286	1573
154	287	1568
155	288	1562
156	289	1555
157	290	1549
158	291	1543
159	293	1538
160	294	1534
161	295	1531
162	296	1525
163	298	1519
164	299	1513
165	300	1507
166	301	1502
167	302	1496
168	303	1490
169	304	1485
170	305	1480
171	306	1475
172	307	1470
173	308	1465
174	310	1461
175	311	1458
176	312	1453
177	313	1448
178	314	1443
179	315	1438
180	316	1433
181	317	1428
182	319	1424
183	320	1419
184	321	1414
185	322	1410
186	323	1405
187	324	1401
188	325	1397
189	327	1394
190	328	1389
191	329	1385
192	330	1380
193	331	1375
194	332	1371
195	333	1367
196	334	1362
197	335	1358
198	336	1354
199	337	1350
200	338	1346
201	339	1342
202	341	1340
203	342	1337
204	343	1333
205	344	1328
206	345	1324
207	346	1320
208	347	1316
209	348	1312
210	350	1308
211	351	1304
212	352	1300
213	353	1296
214	354	1292
215	355	1289
216	356	1287
217	358	1284
218	359	1280
219	360	1276
220	361	1272
221	362	1268
222	363	1265
223	364	1261
224	365	1257
225	366	1254
226	367	1251
227	368	1247
228	369	1242
229	370	1239
230	371	1237
231	373	1234
232	374	1231
233	374	1227
234	375	1223
235	377	1220
236	378	1217
237	379	1213
238	380	1210
239	381	1207
240	382	1204
241	383	1201
242	384	1197
243	385	1194
244	386	1191
245	388	1190
246	389	1186
247	390	1183
248	391	1180
249	392	1177
250	393	1174
251	394	1171
252	395	1168
253	396	1165
254	397	1161
255	398	1158
256	399	1155
257	400	1152
258	401	1149
259	404	1149
260	405	1147
261	406	1144
262	407	1141
263	408	1138
264	409	1134
265	410	1131
266	411	1128
267	412	1126
268	413	1123
269	414	1120
270	415	1117
271	416	1115
272	418	1113
273	419	1112
274	421	1110
275	422	1107
276	423	1104
277	424	1101
278	425	1098
279	426	1096
280	427	1093
281	428	1090
282	429	1087
283	430	1084
284	431	1082
285	432	1080
286	434	1079
287	435	1076
288	436	1074
289	437	1071
290	438	1068
291	439	1065
292	440	1063
293	441	1060
294	442	1057
295	443	1055
296	444	1052
297	445	1049
298	446	1047
299	447	1044
300	449	1042
301	450	1041
302	451	1038
303	452	1036
304	453	1033
305	454	1030
306	455	1027
307	456	1024
308	457	1022
309	457	1019
310	458	1016
311	459	1013
312	460	1011
313	461	1008
314	462	1005
315	463	1002
316	464	1001
317	465	998
318	466	996
319	467	993
320	468	990
321	469	988
322	470	985
323	471	982
324	472	980
325	472	977
326	473	975
327	474	972
328	475	970
329	476	967
